area,area1,area2,area3,area4,area5,Level,Skincare,Skincare1,Skincare2,Skincare3,Skincare4,Skincare5,Skincare6,Skincare7,htk,observ,another
"แก้ม, รอบปาก",แก้ม, รอบปาก,,,,ปานกลาง,"ครีมบำรุงผิว, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,,,,ไม่มีวิธีที่ชัดเจน ใช้ตามรีวิว ตัวไหนใช้แล้วรู้สึกสิวไม่เห่อ และรู้สึกว่าเห็นผลก็ใช้ต่อเรื่อยๆ,ก็ใช้แล้วดูอาการ สภาพผิวหลังใช้ รวมทั้งวิเคราะห์ปัจจัยอื่นๆ เช่น การนอนดึก การกินอาหาร (ช็อคโกแลต อาหารทอดๆ มันๆ ฯ) เป็นต้น,ไม่มี
หน้าผาก,หน้าผาก,,,,,ปานกลาง,"ครีมบำรุงผิว, ยารักษาสิว, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, ยารักษาสิว, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,,,ดูว่าหน้าตัวเองเป็นแบบไหน และเลือกใช้สกินแคร์ที่เหมาะกับปัญหาผิวนั้น,"ดูว่ารอยสิวจางลง , ดูว่าสิวไม่ค่อยขึ้นที่เดิม",ไม่มี
"แก้ม, คาง, จมูก, รอบปาก",แก้ม, คาง, จมูก, รอบปาก,,ปานกลาง,"เซรั่ม, ยารักษาสิว, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",เซรั่ม, ยารักษาสิว, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,,,เอาปัญหาผิวที่คิดว่าตัวเองเป็นไปเสิช หรือเจอแบรนด์สกินแคร์ที่สนใจ แล้วพอดีเค้าเคลมว่าสามารถแก้ปัญหาบางอย่างที่เราเป็นได้ เลยลองใช้ดู,"สัมผัสหน้าแล้วขรุขระน้อยลง(สิวอุดตันน้อยลง), ผิวไม่หมองคล้ำ",มี
"หน้าผาก, แก้ม",หน้าผาก, แก้ม,,,,รุนแรง,โฟมล้างหน้า,โฟมล้างหน้า,,,,,,,ดูแค่ % salicylic acid,ส่องกระจก อาจจะมีถ่ายรูปเก็บไว้,ไม่มี
"คาง, จมูก",คาง, จมูก,,,,ปานกลาง,"ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,สังเกตตและไปฟังคนให้คำแนะนำ,ถ่ายหน้าตัวเองก่อนใช้สกินแคร์ และถ่ายหลังจากใช้มาเป็นระยะ,มี
หน้าผาก,หน้าผาก,,,,,น้อยมาก,โฟมล้างหน้า,โฟมล้างหน้า,,,,,,,ราคา,ผลหลังจากการใช้,ไม่มี
"แก้ม, จมูก, รอบปาก",แก้ม, จมูก, รอบปาก,,,รุนแรง,"ครีมบำรุงผิว, โทนเนอร์, โฟมล้างหน้า",ครีมบำรุงผิว, โทนเนอร์, โฟมล้างหน้า,,,,,ไม่มี,ดูความแตกต่างก่อนและหลังใช้ ถ่ายรูป,มี
หน้าผาก,หน้าผาก,,,,,ปานกลาง,"โทนเนอร์, เซรั่ม, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",โทนเนอร์, เซรั่ม, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,,,ดูจากสกินแคร์ว่าแบบไหนที่จะเหมาะกับเรา,ทาก่อนนอนตื่นมาก็สังเกตว่าผิวหน้าเป็นอย่างไร,มี
"หน้าผาก, แก้ม, คาง, จมูก",หน้าผาก, แก้ม, คาง, จมูก,,ปานกลาง,"ครีมบำรุงผิว, เซรั่ม, ยารักษาสิว, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, เซรั่ม, ยารักษาสิว, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,,ผิวเป็นสิวแล้วก็ค่อนข้างมัน เลยเลือกใช้ moisturizer ที่ไม่หนักจนเกินไป,ใช้ต่อเนื่องอย่างน้อย 2 อาทิตย์เพื่อดูความเปลี่ยนแปลง แล้วก็ถ่าย before/after ทุกครั้งที่ลองสกินแคร์ใหม่,มี
"หน้าผาก, คาง",หน้าผาก, คาง,,,,ปานกลาง,ไม่เคยใช้สกินแคร์,ไม่เคยใช้สกินแคร์,,,,,,,ไม่เคยใช้,ไม่เคยใช้,มี
"หน้าผาก, แก้ม",หน้าผาก, แก้ม,,,,น้อยมาก,"ครีมบำรุงผิว, เซรั่ม, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, เซรั่ม, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,ดูส่วนผสมหลักในสกินแคร์ ให้เหมาะกับปัญหาผิวที่เจอ,ดีขึ้น - หน้าใสขึ้น แย่ลง - มีสิวขึ้นบ่อย,มี
แก้ม,แก้ม,,,,,ปานกลาง,"ครีมบำรุงผิว, เซรั่ม, โฟมล้างหน้า",ครีมบำรุงผิว, เซรั่ม, โฟมล้างหน้า,,,,,อ่านฉลากของสกินแคร์ที่สนใจ,ดูการเปลี่ยนแปลงโดยถ่ายรูป,ไม่มี
"หน้าผาก, แก้ม, ขมับ",หน้าผาก, แก้ม, ขมับ,,,ปานกลาง,"ครีมบำรุงผิว, เจลล้างหน้า",ครีมบำรุงผิว, เจลล้างหน้า,,,,,,จะเช็คสภาพผิวตั้งแต่หลังล้างหน้าจนถึงก่อนล้างหน้า,"เช็คเป็นระยะๆ ดูว่าใช้แล้วแพ้, เป็นขุย หรือเหนอะหนะหรือไม่",ไม่มี
แก้ม,แก้ม,,,,,ปานกลาง,"เซรั่ม, มาส์กหน้า, โฟมล้างหน้า",เซรั่ม, มาส์กหน้า, โฟมล้างหน้า,,,,,ลองใช้,ใช้สักระยะ,ไม่มี
หน้าผาก,หน้าผาก,,,,,น้อยมาก,"ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,ศึกษาจากอินเทอร์เน็ต ดูรีวิว ลองผิดลองถูก ,ไม่ใช้ครีมมากเกินเพราะเราจะไม่รู้ว่าเราเหมาะหรือไม่เหมาะกับครีมตัวไหน,มี
"หน้าผาก, แก้ม, จมูก",หน้าผาก, แก้ม, จมูก,,,ปานกลาง,"ยารักษาสิว, มาส์กหน้า, โฟมล้างหน้า",ยารักษาสิว, มาส์กหน้า, โฟมล้างหน้า,,,,,ไม่รู้,สังเกตทุกวันว่าสิวหายรึยัง,ไม่มี
หน้าผาก,หน้าผาก,,,,,ปานกลาง,"เซรั่ม, โฟมล้างหน้า",เซรั่ม, โฟมล้างหน้า,,,,,,ไม่แน่ใจ ดูรีวิวแล้วหาใช้ตามรีวิว,ดูว่ามีสิวเพิ่มไหม,ไม่มี
"หน้าผาก, แก้ม, คาง, จมูก, รอบปาก",หน้าผาก, แก้ม, คาง, จมูก, รอบปาก,น้อยมาก,"ครีมบำรุงผิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,,,ไม่มี ใช้ตามกระแส,ลองใช้เป็นเวลาหลายวัน,มี
"หน้าผาก, แก้ม",หน้าผาก, แก้ม,,,,ปานกลาง,"เซรั่ม, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",เซรั่ม, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,,,อ่านคำแนะนำ,ถ้าดีขึ้นก็ใช้ต่อ ถ้าแย่ลงก็หยุดใช้,มี
แก้ม,แก้ม,,,,,น้อยมาก,"ครีมบำรุงผิว, ยารักษาสิว, มาส์กหน้า, โฟมล้างหน้า",ครีมบำรุงผิว, ยารักษาสิว, มาส์กหน้า, โฟมล้างหน้า,,,,ลองใช้ครับ,ลองใช้แล้วหยุด,มี
"แก้ม, จมูก",แก้ม, จมูก,,,,ปานกลาง,"ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, ยารักษาสิว, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, ยารักษาสิว, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,ดูจากส่วนผสมในตัวยานั้นๆ,ถ่ายภาพหน้าตัวเองทุกวีค เพื่อดูการเปลี่ยนแปลง,ไม่มี
"แก้ม, คาง",แก้ม, คาง,,,,รุนแรง,"ครีมบำรุงผิว, เซรั่ม, ยารักษาสิว, มาส์กหน้า, โฟมล้างหน้า",ครีมบำรุงผิว, เซรั่ม, ยารักษาสิว, มาส์กหน้า, โฟมล้างหน้า,,,อ่านฉลากผลิตภัณฑ์ หาข้อมูลของส่วนประกอบผลิตภัณฑ์เพิ่มเติม,ติดตามผลหลังจากใช้3เดือน,ไม่มี
"หน้าผาก, แก้ม",หน้าผาก, แก้ม,,,,ปานกลาง,"ครีมบำรุงผิว, เซรั่ม, ยารักษาสิว, มาส์กหน้า, โฟมล้างหน้า",ครีมบำรุงผิว, เซรั่ม, ยารักษาสิว, มาส์กหน้า, โฟมล้างหน้า,,,อ่านหรือศึกษา คำแนะนำกับส่วนผสมในสกินแคร์ว่าเหมาะกับสภาพผิวหรือไม่,เช็คสภาพผิวหน้าเป็นประจำ และะปรึกษาแพทย์,ไม่มี
"หน้าผาก, แก้ม",หน้าผาก, แก้ม,,,,ปานกลาง,"ครีมบำรุงผิว, โทนเนอร์, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, โทนเนอร์, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,,,อ่านส่วนผสม แล้วก็ขอคำแนะนำจากคนขาย,ถ่ายภาพก่อนใช้และหลังใช้,ไม่มี
"หน้าผาก, จมูก",หน้าผาก, จมูก,,,,ปานกลาง,"ครีมบำรุงผิว, เซรั่ม, โฟมล้างหน้า",ครีมบำรุงผิว, เซรั่ม, โฟมล้างหน้า,,,,,ศึกษาจากรายละเอียดผลิตภัณฑ์,ความรู้สึกเมื่อใช้ และคอยเช็คสภาพผิวทุกๆวัน,ไม่มี
"หน้าผาก, แก้ม, คาง, จมูก, รอบปาก",หน้าผาก, แก้ม, คาง, จมูก, รอบปาก,ปานกลาง,"ครีมบำรุงผิว, โทนเนอร์, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, โทนเนอร์, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,ถามผู้เชี่ยวชาญ,ค่อยตามสังเกตุผิวหน้าเป็นระยะๆ,มี
"หน้าผาก, แก้ม, รอบปาก",หน้าผาก, แก้ม, รอบปาก,,,ปานกลาง,"มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,,,,อ่านจากส่วนผสม และศึกษาจากผู้เชี่ยวชาญในยูทูป,หลังจากการใช้ประมาณ1อาทิตย์ขึ้นไป,มี
"หน้าผาก, จมูก",หน้าผาก, จมูก,,,,ปานกลาง,"ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, ยารักษาสิว",ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, ยารักษาสิว,,,,คำแนะนำจาก counter brand ,ดู,ไม่มี
"หน้าผาก, แก้ม, คาง",หน้าผาก, แก้ม, คาง,,,รุนแรง,"ครีมบำรุงผิว, เซรั่ม, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, เซรั่ม, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,ใช้ตามอินฟลู,รอดูไปเรื่อยๆถ้าโอเคก็ใช้ต่อ,ไม่มี
คาง,คาง,,,,,ปานกลาง,"ครีมบำรุงผิว, เซรั่ม, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, เซรั่ม, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,,ดูสารหลังฉลาก,สังเกตผล 1 เดือน,มี
"หน้าผาก, แก้ม",หน้าผาก, แก้ม,,,,ปานกลาง,โฟมล้างหน้า,โฟมล้างหน้า,,,,,,,ไม่เคย,หน้าหายมัน,ไม่มี
"แก้ม, รอบปาก",แก้ม, รอบปาก,,,,ปานกลาง,ไม่เคยใช้สกินแคร์,ไม่เคยใช้สกินแคร์,,,,,,,ไม่ทราบ,ไม่ทราบ,ไม่มี
"แก้ม, คาง",แก้ม, คาง,,,,ปานกลาง,โฟมล้างหน้า,โฟมล้างหน้า,,,,,,,ไม่เคยได้สังเกต,ถ้าสิวลดลงหรือหน้ามันน้อยลงคือโอเค,ไม่มี
แก้ม,แก้ม,,,,,รุนแรง,เซรั่ม,เซรั่ม,,,,,,,สอบถามร้าน,ไม่เคย,ไม่มี
แก้ม,แก้ม,,,,,ปานกลาง,"ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,ศึกษาจากอินเตอร์เนต,ติดตามผลภายใน7 วัน หรือ 1 เดือนหลังใช้,ไม่มี
"แก้ม, คาง",แก้ม, คาง,,,,น้อยมาก,"โทนเนอร์, ยารักษาสิว, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า, มอยส์ เรตินอล",โทนเนอร์, ยารักษาสิว, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า, มอยส์ เรตินอล,,,ผิวมัน - ใช้มอยส์แบบเจลไม่ใช่ครีม และทาเรตินอลเพื่อทำให้รูขุมขนดูจางลง,สังเกตหน้าตัวเองทุกเช้าหลังตื่นนอน,ไม่มี
"หน้าผาก, แก้ม, คาง, รอบปาก",หน้าผาก, แก้ม, คาง, รอบปาก,,ปานกลาง,"ครีมบำรุงผิว, เซรั่ม, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, เซรั่ม, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,ดูจากการรีวิวและกาาทดลองใช้เอง,การใช้เวลาและความสม่ำเสมอในการดูแลผิวหน้า,มี
"หน้าผาก, แก้ม, คาง",หน้าผาก, แก้ม, คาง,,,น้อยมาก,"ครีมบำรุงผิว, เซรั่ม, โฟมล้างหน้า",ครีมบำรุงผิว, เซรั่ม, โฟมล้างหน้า,,,,,เลือกสกินแคร์จากรายละเอียดข้างผลิตภัณฑ์และจากผลิตภัณฑ์แบรนด์ดังๆ,ดูจากผิวหน้า,มี
"หน้าผาก, แก้ม",หน้าผาก, แก้ม,,,,น้อยมาก,"เซรั่ม, โฟมล้างหน้า",เซรั่ม, โฟมล้างหน้า,,,,,,ไม่มี ถามแฟนเอา,สังเกตุว่ารอยสิวจางลงไหม,ไม่มี
"หน้าผาก, แก้ม",หน้าผาก, แก้ม,,,,ปานกลาง,เซรั่ม,เซรั่ม,,,,,,,-,-,ไม่มี
"หน้าผาก, คาง",หน้าผาก, คาง,,,,ปานกลาง,"ครีมบำรุงผิว, เซรั่ม, ยารักษาสิว, มาส์กหน้า, โฟมล้างหน้า",ครีมบำรุงผิว, เซรั่ม, ยารักษาสิว, มาส์กหน้า, โฟมล้างหน้า,,,เลือกที่เหมาะกับคนผิวมัน ทาแล้วซึมไว ไม่เหนียวหน้า,ทดลองใช้สัก 1 - 3 เดือน ว่าแพ้ หรือเหมาะกับผิวเราไหม ,ไม่มี
"หน้าผาก, แก้ม, คาง, จมูก",หน้าผาก, แก้ม, คาง, จมูก,,ปานกลาง,"ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,,อ่านฉลากและอ่านรีวิว,ส่องกระจก ดูตรงบริเวณที่ทา,ไม่มี
แก้ม,แก้ม,,,,,ปานกลาง,"โทนเนอร์, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",โทนเนอร์, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,,,อ่านฉลาก,ถ้าไม่แสบหรือมีสิวขึ้นเพิ่มแปลว่าได้ผล,มี
คาง,คาง,,,,,ปานกลาง,"ครีมบำรุงผิว, เซรั่ม, โฟมล้างหน้า",ครีมบำรุงผิว, เซรั่ม, โฟมล้างหน้า,,,,,อ่านฉลาก สรรพคุณ,สภาพผิวหน้า หลังใช้ ผลิตภัณฑ์,มี
คาง,คาง,,,,,น้อยมาก,"ครีมบำรุงผิว, เซรั่ม",ครีมบำรุงผิว, เซรั่ม,,,,,,เลือกผลิตภัณฑ์ทีาน่าเชื่อถือ ดูส่วนผสม และทดลองใช้,ทดสอบการแพ้ก่อนใช้ ดูสภาพผิว,มี
"แก้ม, จมูก, รอบปาก",แก้ม, จมูก, รอบปาก,,,ปานกลาง,"ครีมบำรุงผิว, โทนเนอร์, ยารักษาสิว, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, โทนเนอร์, ยารักษาสิว, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,,ลองผิดลองถูก,ถ่ายรูป,ไม่มี
จมูก,จมูก,,,,,น้อยมาก,"ครีมบำรุงผิว, เซรั่ม, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, เซรั่ม, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,ดูความเปลี่ยนแปลงของผิว,สัมผัส,ไม่มี
"หน้าผาก, แก้ม, คาง, รอบปาก",หน้าผาก, แก้ม, คาง, รอบปาก,,ปานกลาง,"ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, ยารักษาสิว, โฟมล้างหน้า",ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, ยารักษาสิว, โฟมล้างหน้า,,,สกินแคร์สำหรับผิวแพ้ง่าย,สังเกตุว่าใช้แล้วมีการเปลี่ยนแปลงมั้ย,ไม่มี
รอบปาก,รอบปาก,,,,,ปานกลาง,โทนเนอร์,โทนเนอร์,,,,,,,ไม่มี,ดีขึ้น,ไม่มี
"หน้าผาก, คาง",หน้าผาก, คาง,,,,น้อยมาก,ครีมบำรุงผิว,ครีมบำรุงผิว,,,,,,,ชนิดของครีม,สังเกต,ไม่มี
"หน้าผาก, แก้ม",หน้าผาก, แก้ม,,,,ปานกลาง,ยารักษาสิว,ยารักษาสิว,,,,,,,คำแนะนำจากแพทย์,ผิว,ไม่มี
"หน้าผาก, แก้ม",หน้าผาก, แก้ม,,,,รุนแรง,"ครีมบำรุงผิว, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,,อ่านที่ฉลาก,สิวขึ้นเพิ่มหรือไม่,มี
"หน้าผาก, แก้ม, คาง, จมูก",หน้าผาก, แก้ม, คาง, จมูก,,ปานกลาง,"มาส์กหน้า, โฟมล้างหน้า",มาส์กหน้า, โฟมล้างหน้า,,,,,,ลองใช้เลย,สังเกต 1 อาทิตย์ หลังจากใช้งานว่าผิวหน้าเป็นไง,ไม่มี
แก้ม,แก้ม,,,,,น้อยมาก,ไม่เคยใช้สกินแคร์,ไม่เคยใช้สกินแคร์,,,,,,,ไม่มี,ไม่ค่อยใช้ผลิตภัณฑ์สกินแคร์ เลยไม่ค่อยมีการสังเกตผมลัพธ์,ไม่มี
จมูก,จมูก,,,,,น้อยมาก,"ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, โฟมล้างหน้า",ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, โฟมล้างหน้า,,,,มอย์เจอไรซเซอรผ์ Spf 50+++,ดูจากผิวหน้า,ไม่มี
"คาง, จมูก",คาง, จมูก,,,,ปานกลาง,"เซรั่ม, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",เซรั่ม, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,,,,เปลี่ยนไปเรื่อยๆ,สิวไม่ค่อยขึ้น,ไม่มี
"หน้าผาก, แก้ม",หน้าผาก, แก้ม,,,,น้อยมาก,"ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, ผลิตภัณฑ์ล้างเครื่องสำอาง",ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, ผลิตภัณฑ์ล้างเครื่องสำอาง,,,,ลักษณะผิวตัวเอง และรูขุมขน เหมาะกับใช้ผลิตภัณฑ์แบบไหน,หลังล้างหน้า และตอนตื่นนอน,มี
แก้ม,แก้ม,,,,,ปานกลาง,ครีมบำรุงผิว,ครีมบำรุงผิว,,,,,,,ล้างหน้า,สองกระจกบ่อย,มี
