คุณรู้สึกว่าผิวหน้าของคุณใกล้เคียงกับตัวเลือกใดมากที่สุด,รูขุมขนบริเวณแก้มของคุณเป็นอย่างไร,ปัญหาผิวหน้าที่คุณประสบอยู่คืออะไร? (เลือกได้หลายข้อ),Problem1,Problem2,Problem3,Problem4,Problem5,Problem6
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว,,,
ผิวหน้าธรรมดา - มีความสมดุลไม่ค่อยมีสิว,ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),หลุม แผลเป็นจากสิว,หลุม แผลเป็นจากสิว,,,,,
ผิวหน้ามัน,ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),รอยดำหรือรอยแดงจากสิว,รอยดำหรือรอยแดงจากสิว,,,,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง,,,,
ผิวหน้ามัน,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,ไม่เคยสังเกต,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง,,,,
ผิวหน้าแห้ง,ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),รอยดำหรือรอยแดงจากสิว,รอยดำหรือรอยแดงจากสิว,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ไม่เคยสังเกต,"รอยดำหรือรอยแดงจากสิว, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, หลุม แผลเป็นจากสิว,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),หลุม แผลเป็นจากสิว,หลุม แผลเป็นจากสิว,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),ฝ้า กระ จุดด่างดำจากแดด,ฝ้า กระ จุดด่างดำจากแดด,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, ผิวหน้าหมองคล้ำ,,
ผิวหน้าธรรมดา - มีความสมดุลไม่ค่อยมีสิว,ไม่เคยสังเกต,ผิวหน้าหมองคล้ำ,ผิวหน้าหมองคล้ำ,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง,,,,
ผิวหน้ามัน,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว,,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),"รอยดำหรือรอยแดงจากสิว, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, หลุม แผลเป็นจากสิว,,,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, หลุม แผลเป็นจากสิว,,
ผิวหน้าแห้ง,ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),"รอยดำหรือรอยแดงจากสิว, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ,,,
ผิวหน้าธรรมดา - มีความสมดุลไม่ค่อยมีสิว,ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),"รอยดำหรือรอยแดงจากสิว, มีริ้วรอย",รอยดำหรือรอยแดงจากสิว, มีริ้วรอย,,,,
ผิวหน้าแห้ง,ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),"รอยดำหรือรอยแดงจากสิว, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ,,
ผิวหน้ามัน,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, ผิวหน้าหมองคล้ำ,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),"รอยดำหรือรอยแดงจากสิว, ฝ้า กระ จุดด่างดำจากแดด",รอยดำหรือรอยแดงจากสิว, ฝ้า กระ จุดด่างดำจากแดด,,,,
ผิวหน้ามัน,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ",มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ไม่เคยสังเกต,"รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ,,,,
ผิวหน้ามัน,ไม่เคยสังเกต,ผิวหน้าหมองคล้ำ,ผิวหน้าหมองคล้ำ,,,,,
ผิวหน้าธรรมดา - มีความสมดุลไม่ค่อยมีสิว,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว,,
ผิวหน้ามัน,ไม่เคยสังเกต,"รอยดำหรือรอยแดงจากสิว, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ,,,
ผิวหน้าธรรมดา - มีความสมดุลไม่ค่อยมีสิว,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รูขุมขนกว้าง, หลุม แผลเป็นจากสิว",รูขุมขนกว้าง, หลุม แผลเป็นจากสิว,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),"รอยดำหรือรอยแดงจากสิว, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, หลุม แผลเป็นจากสิว,,,,
ผิวหน้ามัน,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),รูขุมขนกว้าง,รูขุมขนกว้าง,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว,,
ผิวหน้ามัน,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รูขุมขนกว้าง, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด",รูขุมขนกว้าง, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ไม่เคยสังเกต,"รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ไม่เคยสังเกต,"รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ,,,,
ผิวหน้ามัน,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),รอยดำหรือรอยแดงจากสิว,รอยดำหรือรอยแดงจากสิว,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ไม่เคยสังเกต,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, หลุม แผลเป็นจากสิว,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ไม่เคยสังเกต,ฝ้า กระ จุดด่างดำจากแดด,ฝ้า กระ จุดด่างดำจากแดด,,,,,
ผิวหน้ามัน,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, มีริ้วรอย, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, มีริ้วรอย, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ,,
ผิวหน้าแห้ง,ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),ผิวแห้ง แพ้ง่าย,ผิวแห้ง แพ้ง่าย,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ,,,,
ผิวหน้ามัน,ไม่เคยสังเกต,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, ผิวหน้าหมองคล้ำ,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,ไม่เคยสังเกต,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),มีริ้วรอย,มีริ้วรอย,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),ฝ้า กระ จุดด่างดำจากแดด,ฝ้า กระ จุดด่างดำจากแดด,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ,
ผิวหน้ามัน,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ,,
ผิวหน้ามัน,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รูขุมขนกว้าง, มีริ้วรอย, ผิวหน้าหมองคล้ำ",รูขุมขนกว้าง, มีริ้วรอย, ผิวหน้าหมองคล้ำ,,,
ผิวหน้าธรรมดา - มีความสมดุลไม่ค่อยมีสิว,ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),"รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ,,,,
ผิวหน้าแห้ง,ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),"มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด",มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด,,,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),"รอยดำหรือรอยแดงจากสิว, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด",รอยดำหรือรอยแดงจากสิว, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด,,,
ผิวหน้ามัน,ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),ฝ้า กระ จุดด่างดำจากแดด,ฝ้า กระ จุดด่างดำจากแดด,,,,,
ผิวหน้าธรรมดา - มีความสมดุลไม่ค่อยมีสิว,ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),มีริ้วรอย,มีริ้วรอย,,,,,
ผิวหน้าแห้ง,ไม่เคยสังเกต,มีริ้วรอย,มีริ้วรอย,,,,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รูขุมขนกว้าง, มีริ้วรอย",รูขุมขนกว้าง, มีริ้วรอย,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),ฝ้า กระ จุดด่างดำจากแดด,ฝ้า กระ จุดด่างดำจากแดด,,,,,
ผิวหน้าแห้ง,ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),"รอยดำหรือรอยแดงจากสิว, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),"มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด",มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด,,,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รูขุมขนกว้าง, มีริ้วรอย, ผิวหน้าหมองคล้ำ",รูขุมขนกว้าง, มีริ้วรอย, ผิวหน้าหมองคล้ำ,,,
ผิวหน้าแห้ง,ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),ฝ้า กระ จุดด่างดำจากแดด,ฝ้า กระ จุดด่างดำจากแดด,,,,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),รูขุมขนกว้าง,รูขุมขนกว้าง,,,,,
ผิวหน้าแห้ง,ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),"ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ",ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ค่อนข้างเล็ก ( สังเกตเห็นได้ยาก ),"รอยดำหรือรอยแดงจากสิว, มีริ้วรอย, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, มีริ้วรอย, ผิวหน้าหมองคล้ำ,,,
ผิวหน้าแห้ง,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),รอยดำหรือรอยแดงจากสิว,รอยดำหรือรอยแดงจากสิว,,,,,
ผิวหน้ามัน,รูขุมขนกว้าง ( สังเกตเห็นได้อย่างชัดเจน ),"รอยดำหรือรอยแดงจากสิว, มีริ้วรอย",รอยดำหรือรอยแดงจากสิว, มีริ้วรอย,,,,
